,29,10,48,18,6,8,50,45,9,22,13,35,21,53,33,36,38,54,44,47,52,20,40,28,49,42,3,7,37,4,14,39,2,17,27,12,41,1,11,43,26,5,15,46,30,31,0,23,34,19,16,51,25,32,24,x,y,timestamp
36,-90.0,-70.0,,,-77.0,,,,,,,-88.0,,,-90.0,-84.0,,,,,,-74.0,-90.0,,,,-58.0,-88.0,-87.0,-81.0,,,-88.0,,,,,,-82.0,,,,,,,,,-75.0,-91.0,,,,,-90.0,,414.545776367187,292.634765625,2017-07-11 22:06:52
37,-87.0,-66.0,,,-77.0,,,,-88.0,,,-89.0,,,,-85.0,,,,,,-73.0,,,,,-58.0,-91.0,,-81.0,,-90.0,-88.0,,,,-89.0,,-84.0,,-77.0,,-86.0,,,,,-77.0,,,,,,,-72.0,430.906860351563,291.42694091796903,2017-07-11 22:07:07
38,-87.0,-66.0,,,-73.0,,,,,,,-89.0,,,-89.0,,-88.0,,,,,-66.0,-86.0,,,-88.0,-60.0,,,-78.0,,,-89.0,,,,,,,-88.0,-78.0,,,,,,,-79.0,,,,,,,,448.857971191406,292.11236572265597,2017-07-11 22:07:27
39,-83.0,-64.0,,,-71.0,,,,,,,-88.0,,,-85.0,,-89.0,,,,,-67.0,-88.0,,,,-55.0,-85.0,,,,,-90.0,,,,,,-84.0,,,,,,,,-85.0,,-90.0,,,,,,-62.0,465.315307617188,292.385864257812,2017-07-11 22:07:41
40,-85.0,-66.0,,,-69.0,,,,,,,,,,-89.0,-82.0,,,-91.0,,,-66.0,,,,-90.0,-56.0,-87.0,,-81.0,,-83.0,-92.0,,,,,,-85.0,,-72.0,,-88.0,,,,,,-89.0,,,,,-87.0,,483.223937988281,292.454345703125,2017-07-11 22:07:56
41,-85.0,-66.0,,,-69.0,,,,,,,-86.0,,,,,,,,,,-68.0,-83.0,,,-93.0,-66.0,-86.0,,-81.0,,-85.0,-89.0,,,,,,,-85.0,-73.0,,,,-86.0,,,,,,,,,,,502.59030151367205,292.712554931641,2017-07-11 22:08:12
42,-83.0,-69.0,,,-71.0,,,,,,,-85.0,,,,,-89.0,,,,,-66.0,,,,,-60.0,-87.0,-85.0,,,,-88.0,,,,,,-88.0,,-74.0,,,,,-88.0,-89.0,,-92.0,,,,,-90.0,,519.335388183594,292.486694335937,2017-07-11 22:08:25
43,-82.0,-69.0,,,-69.0,,,-87.0,-85.0,,,-88.0,,,-89.0,,-87.0,,,,,-65.0,,,,,-64.0,-87.0,,-82.0,,,-90.0,,,,,,,,-74.0,,,-90.0,,,,-84.0,,,,,,,-67.0,537.442626953125,293.04364013671903,2017-07-11 22:08:44
44,-83.0,-70.0,,,-66.0,,,,,,,-89.0,,,-92.0,,-87.0,,,,,-71.0,-84.0,,,,-68.0,-84.0,,-85.0,,,-87.0,,,,,,,-88.0,-72.0,,,,,,-88.0,-77.0,,,,,,,-69.0,554.6739501953131,292.482940673828,2017-07-11 22:09:09
45,-77.0,-73.0,,,-68.0,,,-86.0,,,,-87.0,,,-84.0,,,,,,,-68.0,,,,,-67.0,-81.0,-79.0,-84.0,,,-89.0,,,,-82.0,,-87.0,,-71.0,,,-86.0,,,,-79.0,,,,,,,,572.009765625,292.11138916015597,2017-07-11 22:09:28
46,-79.0,-75.0,,,-61.0,,,,-84.0,,,-90.0,,,-91.0,-85.0,,,,,,-70.0,-81.0,,,,-68.0,-86.0,,-84.0,,,-85.0,,,,-82.0,,-86.0,-88.0,-70.0,,,,,,,,,,,,,,,589.497497558594,292.489349365234,2017-07-11 22:09:44
